HoosID,pH,pH2,pH3,SampleName,16s.copynumber_g.dry.soil,ITScopynumbergdrysoil,nxrBcopynumbergdrysoil,amoAbaccopiesgdrysoil,amoAarchcopiesgdrysoil,hzaqtygdrysoil,NapAqtygdrysoil,NozIcopiesgdrysoil,NxrAcopiesgdrysoil,cNorBgdrysoil
H042,7.58,57.4564,435.519512,42,1500625008,21941582.2,3909679.323,1169314.236,8866318.46,25206595.14,477.4699757,12449349.64,387471.617,81.40613278
H043,7.11,50.5521,359.425431,43,1780945819,10198821.9,7251342.031,2161514.639,13541394.82,105968660.6,331.0885713,9018326.514,425568.479,52.9970767
H044,7.37,54.3169,400.315553,44,1082516338,7786864.47,7242035.706,1335482.933,16136778.67,87695582.52,324.3396082,6241073.723,303890.9454,47.3774664
H045,7.48,55.9504,418.508992,45,881974640.6,10923171.53,5670627.295,1262638.409,15476470.17,36672321.22,303.9039224,8689584.351,307160.3882,14.02800123
H048,7.28,52.9984,385.828352,48,1511709164,17994366.44,6699888.33,1848019.824,9938907.731,30302033.46,404.4671431,11514296.94,477084.0118,55.1704648
H049,7.51,56.4001,423.564751,49,990804466.5,8518765.89,6757030.503,2004390.732,8334770.703,55568553.48,324.3715419,8882550.769,252155.0574,47.76044176
H067,6.5,42.25,274.625,67,1132217875,23569404.32,5591506.25,3260250.391,8516772.917,41983269.27,142.2468573,6606088.379,536922.2656,57.19176307
H069,6.45,41.6025,268.336125,69,1204734324,17745232.32,5565876.86,3257778.491,18960221.35,79048317.79,215.1111595,8589827.356,919122.6477,110.6659424
H070,6.45,41.6025,268.336125,70,940042365.3,13551158.42,6551047.876,2272183.654,10410735.6,52415692.6,192.5300624,8086477.737,931466.2341,69.89214518
H078,6.54,42.7716,279.726264,78,973446263.7,30624774.68,5516552.793,6153086.582,9638941.881,19850913.28,277.9269903,9715574.448,3953971.915,43.37385063
H080,7.05,49.7025,350.402625,80,1115916532,31472185.3,6123979.329,2000671.263,17830619.72,33974666.6,363.1764757,8992241.895,457706.5961,42.83586647
H086,6.75,45.5625,307.546875,86,652516218.8,10080223.18,3128310.088,1558381.655,4207522.881,56102743.98,60.62871628,5214788.342,629338.3594,25.31159534
H087,5.92,35.0464,207.474688,87,944569154.6,18084185.34,6228605.444,4370056.057,11683940.75,29992177.51,184.4173908,7434565.826,6146486.099,26.21509915
H088,6.46,41.7316,269.586136,88,1246641348,23191426.83,7193433.96,1950574.738,14053126.34,34414333.33,177.7836052,8896080.246,1435739.136,19.60104972
H089,6.06,36.7236,222.545016,89,496561466.3,15208229.42,3573831.543,3416178.949,5629576.479,26552553.03,90.54858545,3769309.972,4135215.483,17.85827153
H097,6.24,38.9376,242.970624,97,1689496566,72030924.09,6133057.734,9115590.645,5306443.398,21495035.98,197.7742139,14203423.97,1480726.758,88.25493772
H098,6.41,41.0881,263.374721,98,2049553162,38123698.47,15503616.8,5086693.652,42590734.53,103780919.3,437.5842786,16973777.71,1316594.983,101.9433198
H099,6.92,47.8864,331.373888,99,1226217252,17483884.25,13004757.03,2122679.993,16216022.4,61282583.35,278.5295318,11089960.73,704610.5521,65.78847694
H100,6.12,37.4544,229.220928,100,1542617484,26554687.22,7909538.613,2188011.343,17114699.12,38820451.48,449.0341902,9088771.216,1093874.187,69.66279745
H101,5.52,30.4704,168.196608,101,958269320.5,61766227.47,2075233.806,1019590.303,7278621.758,25906141.53,75.51241789,6280101.073,862487.0255,39.05772731
H108,5.54,30.6916,170.031464,108,282214789.1,10055384.13,2244152.661,927031.8237,3008125.255,27507727.73,37.01340361,2432536.53,486068.7805,20.91917279
H109,5.13,26.3169,135.005697,109,583952572.4,32194305.31,2052454.34,2015895.905,15460768.21,15344746.88,35.72677262,3931756.348,958690.1733,44.49211119
H111,5.55,30.8025,170.953875,111,410337355.7,17628812.07,3859813.506,569819.7437,2581573.066,69255685.9,38.4379115,4270524.17,514050.0375,41.52235358
H118,5.32,28.3024,150.568768,118,243469989.3,10040615.03,2499940.32,1067057.781,3256060.663,40692168.16,24.81129955,3931965.115,783226.1298,24.57013079
H121,4.93,24.3049,119.823157,121,943712547.7,30543626.27,1165955.483,538074.5682,1555079.895,192542.0567,59.66853263,4486300.69,632448.0176,41.67668052
H122,5.1,26.01,132.651,122,525197724.4,23970745.08,2207993.338,583171.449,2363144.833,16117363.96,28.12831335,4173617.119,1012138.008,37.56472808
H123,4.7,22.09,103.823,123,528598679.5,54028891.04,2248614.891,1101308.008,3427166.5,20065487.07,33.83493574,4282846.602,1308754.009,32.67033355
H124,4.76,22.6576,107.850176,124,779211968.9,68295477.59,1112599.945,1334689.349,3076740.948,1330399.274,34.54336233,3553508.224,2062223.633,36.29971005
H128,4.68,21.9024,102.503232,128,588462782.1,43242837.41,2077427.709,820918.7088,6631623.727,5443424.808,27.11466511,2452413.599,1970132.38,24.456223
H141,4.4,19.36,85.184,141,506821837.6,40449252.77,752673.6841,79068.37967,1929459.673,0,25.77255238,3548608.594,835967.4243,22.8282738
H145,4.21,17.7241,74.618461,145,261705912.8,13764200.75,240618.4525,93988.69217,793776.5057,0,13.42952696,1321484.601,204924.3036,11.91392391
H146,4.29,18.4041,78.953589,146,196645866,7216274.03,452728.6578,0,1482722.804,0,10.46961322,835028.4519,206033.0736,8.938782406
H147,4.3,18.49,79.507,147,487012626.5,31738784.46,301471.2364,25575.48,0,0,8.187858236,2096531.433,829723.4637,18.61693418
H148,4.12,16.9744,69.934528,148,1316062849,39617842.88,347397.3415,0,0,0,41.30270868,9828054.909,177165.6578,18.76256515
H150,4.04,16.3216,65.939264,150,137759801.9,4016895.51,201884.2084,14278.94602,0,0,9.709874098,1064338.513,95802.13257,8.205183339
H155,4.42,19.5364,86.350888,155,605663060.9,36892363.9,974248.4354,203631.4357,1488325.233,0,21.98875039,5158337.251,674369.4566,23.14196295
H157,4.28,18.3184,78.402752,157,635434818.8,31976379.76,925132.0001,36991.00657,5196119.063,1015335.604,18.72842376,2927971.198,499606.0263,28.93156561
H165,3.9,15.21,59.319,165,206210369.5,6592790.86,452470.0342,145009.2142,763413.555,304067.049,14.40282292,1273720.025,144533.6365,14.23484188
H166,3.8,14.44,54.872,166,182921302.6,6926078.68,344140.7877,4446.552989,384983.6422,0,23.02799663,4242688.229,88771.92924,16.74678304
H167,3.8,14.44,54.872,167,86701069.2,7269352.89,363806.8506,11962.7424,197673.4292,0,9.890633571,934952.5703,74983.3271,14.45522325
H168,3.94,15.5236,61.162984,A168,366099350.8,29104638.58,996975.4486,14847.37531,304527.6909,1341800.537,15.45829044,2013349.819,120477.4704,21.18638862
H170,3.82,14.5924,55.742968,170,76009149.18,5692954,400545.8832,0,83208.25974,296053.2379,11.38407315,920823.9555,63838.90629,7.994811313
H174,3.91,15.2881,59.776471,174,290561104.8,10923640.79,212867.7505,0,0,0,15.01226916,1342181.528,292946.494,12.98797391
H175,3.89,15.1321,58.863869,A175,298576116.9,3892686.46,525304.9979,25472.78764,383899.6398,0,16.46043363,1782442.382,185603.7039,19.69483179
H176,3.71,13.7641,51.064811,176,131171645.4,10989146.34,461333.3075,0,491393.4534,717446.9832,18.96435961,761145.4626,25836.01619,8.782022598
H177,3.95,15.6025,61.629875,A177,387076175.7,15805075.25,806780.3027,32607.26624,586519.6483,439963.8181,14.03798647,1531747.156,71617.38894,19.11173851
H179,3.82,14.5924,55.742968,179,164541862.7,16987542.65,313616.2143,0,179467.6851,0,10.63044388,1041018.977,170142.3885,5.599930532
H180,3.89,15.1321,58.863869,180,198079827.4,15658603.15,437420.3459,0,681583.5287,0,13.68825689,1057281.715,60236.36951,16.16645788
